BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
11773673,Bombay Sweet Shop,10744,#_# Sweet Shop Rasmalai - BSS,REVIEW (shopify catalog),77,FRE-RM-KES-5PCS-001,Sweet Shop Jalebi,PRODUCT64840,10744,,Sweet Shop Kesar Rasmalai=Sweet Shop Kesar Rasmalai (86) | PRODUCT64840=Sweet Shop Jalebi (77) | BSS-1765=SWEET SHOP RASMALAI - PET JAR (RTS) (76),
10306660,Bombay Sweet Shop,9763,#_# Blue Jumbo Bags - BSS,NO MATCH,55,,,,,,BSS-0242=MALABAR BLEND- TEA BAG (55) | BSS-0661=MAIDA (BLUE BIRD) (53) | BSS-2005=LEMON LEAVES (51),
10306642,Bombay Sweet Shop,9759,#_# Care Package Sticker - BSS,NO MATCH,72,BSS-0316,,,,,BSS-0316=STICKER - CARE PACKAGE WITH GOLD FOIL (72) | BSS-0854=ICE CREAM STICK (68) | BSS-1926=STICKER - RED CARROT HALWA (68),
20046173,Bombay Sweet Shop,18594,#_# Diwali Gift Box - Large - BSS,NO MATCH,71,,,,,,PKG-RED-ECOM-LRG-PCS-013=Large Red Gift Box (71) | BSS-0297=TAG - DIWALI BSS TAG (66) | BSS-3265=READY - DIWALI DIYA BOX (2025) (63),
20043491,Bombay Sweet Shop,18586,#_# Diwali Gift Box - Medium - BSS,NO MATCH,68,,,,,,PKG-BOX-020=Medium Yellow Gift Box (68) | PKG-BOX-014=Rani Bagh Gift Box - Medium (63) | BSS-3265=READY - DIWALI DIYA BOX (2025) (62),
10306621,Bombay Sweet Shop,9702,#_# Extra Large Kite Paper - BSS,NO MATCH,73,BSS-0320,,,,,BSS-0319=KITE PAPER - LARGE 29 X 13 (73) | BSS-1942=KITE PAPER - NEW LARGE 2023 (72) | BSS-3370=KITE PAPER -  DELTA KITE PAPER (2025) (62),
10306719,Bombay Sweet Shop,10707,#_# Gift Card - BSS,NO MATCH,60,,,,,,BSS-0379=SOFT BOARD PIN (60) | BSS-1929=CARD - DIWALI GIFT CARD (60) | BSS-0405=INWARD REGISTER (58),
10306677,Bombay Sweet Shop,10070,#_# Green Floral Gift Box - Medium - BSS,NO MATCH,69,,,,,,BSS-2466=(GIFTING) STICKER BAND - MEDIUM + LARGE FLORAL BOX (69) | BSS-2462=(GIFTING) BAND - MEDIUM FLORAL BOX (W/O FOILING) (65) | BSS-2463=(GIFTING) BAND - MEDIUM FLORAL BOX (WITH FOILING) (64),
22082918,Bombay Sweet Shop,20336,#_# Ice Pack - BSS,NO MATCH,63,,,,,,BSS-0509=DICED PISTA (63) | BSS-1583=FRIED PALAK (63) | BSS-4391=PC ICE SCOOP (60),
11732224,Bombay Sweet Shop,10036,#_# Khatti Meethi Boondi Chikki Mini (50g) - BSS,NO MATCH,72,,,,,,BSS-1148=BOX - KHATTI MEETHI CHIKKI - 50 GMS - 2024 (72) | BSS-1147=BOX - KHATTI MEETHI CHIKKI - 100 GMS - 2024 (68) | BSS-2737=TAG - BOONDI CHIKKI TAG (2025) (61),
